"personName","rank","finalWorth","age","country","industries","selfMade","gdp_country","gross_tertiary_education_enrollment","tax_revenue_country","total_tax_rate_country","population_country","female","Self.Made.Score","Philanthropy.Score","Marital.Status","Bachelor","Master","Doctorate","Drop.Out"
"Jorge Paulo Lemann & family",108,15800,83,"Switzerland","Food & Beverage",1,703.08243536,59.6,10.1,28.8,8.574832,0,6,1,"Married",1,0,0,0
"Dilip Shanghvi",112,15600,67,"India","Healthcare",1,2611,28.1,11.2,49.7,1366.417754,0,6,1,"Married",1,0,0,0
"Robert Pera",113,15500,45,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,8,1,"Single",1,1,0,0
"Radhakishan Damani",114,15300,68,"India","Fashion & Retail",1,2611,28.1,11.2,49.7,1366.417754,0,6,1,"Married",0,0,0,0
"Huang Shilin",115,15200,56,"China","Automotive",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Unknown",1,0,0,0
"Dhanin Chearavanont",116,14900,83,"Thailand","Diversified",0,543.649976166,49.3,14.9,29.5,69.625582,0,6,1,"Widowed",0,0,0,0
"David Green & family",116,14900,81,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,0,10,2,"Married",0,0,0,0
"Charoen Sirivadhanabhakdi",118,14800,78,"Thailand","Food & Beverage",1,543.649976166,49.3,14.9,29.5,69.625582,0,6,1,"Widowed",0,0,0,0
"Charlene de Carvalho-Heineken & family",119,14700,68,"United Kingdom","Food & Beverage",0,2827.113184696,60,25.5,30.6,66.834405,1,6,1,"Married",1,0,0,0
"Xu Hang",120,14600,60,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Unknown",1,1,0,0
"Wei Jianjun & family",121,14500,59,"China","Automotive",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",1,0,0,0
"Alisher Usmanov",122,14400,69,"Uzbekistan","Metals & Mining",1,57.92128644,10.1,14.8,31.6,33.58065,0,6,1,"Divorced",0,1,0,0
"Goh Cheng Liang",123,14300,95,"Singapore","Manufacturing",1,372.062527489,84.8,13.1,21,5.703569,0,6,1,"Widowed",0,0,0,0
"Kumar Birla",124,14200,55,"India","Diversified",0,2611,28.1,11.2,49.7,1366.417754,0,6,1,"Married",1,1,0,0
"Aliko Dangote",124,14200,65,"Nigeria","Manufacturing",1,448.120428859,10.2,1.5,34.8,200.963599,0,6,1,"Divorced",1,0,0,0
"Idan Ofer",127,14000,67,"United Kingdom","Diversified",0,2827.113184696,60,25.5,30.6,66.834405,0,6,1,"Married",0,0,0,0
"Chen Bang",128,13900,57,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",0,1,0,0
"John Fredriksen",130,13700,78,"United Kingdom","Logistics",1,2827.113184696,60,25.5,30.6,66.834405,0,6,1,"Widowed",0,0,0,0
"Diane Hendricks",130,13700,76,"United States","Construction & Engineering",1,21427.7,88.2,9.6,36.6,328.239523,1,9,1,"Widowed",0,0,0,0
"Jan Koum",130,13700,47,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,10,2,"Single",0,0,0,1
"Jerry Jones",133,13300,80,"United States","Sports",1,21427.7,88.2,9.6,36.6,328.239523,0,8,1,"Married",1,1,0,0
"George Kaiser",133,13300,80,"United States","Energy",0,21427.7,88.2,9.6,36.6,328.239523,0,5,4,"Married",1,1,0,0
"Lu Xiangyang",136,13200,60,"China","Automotive",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",0,0,0,0
"Harry Triguboff",137,13100,90,"Australia","Real Estate",1,1392.680589329,113.1,23,47.4,25.766605,0,6,1,"Married",1,0,0,0
"Uday Kotak",138,12900,64,"India","Finance & Investments",1,2611,28.1,11.2,49.7,1366.417754,0,6,1,"Married",1,1,0,0
"Stanley Kroenke",138,12900,75,"United States","Sports",1,21427.7,88.2,9.6,36.6,328.239523,0,6,1,"Married",1,1,0,0
"Mikhail Fridman",140,12600,58,"United Kingdom","Energy",1,2827.113184696,60,25.5,30.6,66.834405,0,6,1,"Divorced",0,1,0,0
"Sarath Ratanavadi",141,12300,57,"Thailand","Energy",1,543.649976166,49.3,14.9,29.5,69.625582,0,6,1,"Married",1,1,0,0
"Dang Yanbao",142,12200,50,"China","Metals & Mining",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Unknown",0,1,0,0
"Jiang Rensheng & family",142,12200,69,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",0,0,0,0
"Shahid Khan",144,12100,72,"United States","Automotive",1,21427.7,88.2,9.6,36.6,328.239523,0,10,1,"Married",1,0,0,0
"Laurene Powell Jobs & family",145,12000,59,"United States","Technology",0,21427.7,88.2,9.6,36.6,328.239523,1,2,1,"Widowed",1,1,0,0
"Stephen Ross",147,11600,82,"United States","Real Estate",1,21427.7,88.2,9.6,36.6,328.239523,0,8,2,"Married",1,1,0,0
"Pavel Durov",148,11500,38,"United Arab Emirates","Technology",1,421.142267938,36.8,0.1,15.9,9.770529,0,6,1,"Single",0,1,0,0
"Andreas Struengmann & family",148,11500,73,"Germany","Healthcare",1,3845.630030824,70.2,11.5,48.8,83.132799,0,6,1,"Married",0,0,0,0
"Thomas Struengmann & family",148,11500,73,"Germany","Healthcare",1,3845.630030824,70.2,11.5,48.8,83.132799,0,6,1,"Married",0,1,0,0
"Liu Hanyuan",151,11400,59,"China","Food & Beverage",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",1,0,0,0
"Michael Rubin",151,11400,50,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,0,8,1,"Divorced",0,0,0,1
"Israel Englander",153,11300,74,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0,9,1,"Married",1,0,0,0
"Viatcheslav Kantor",153,11300,69,"Israel","Manufacturing",1,395.098666122,63.4,23.1,25.3,9.0533,0,6,1,"Married",0,0,0,0
"Anthony Pratt",153,11300,62,"Australia","Manufacturing",0,1392.680589329,113.1,23,47.4,25.766605,0,6,1,"Unknown",1,0,0,0
"Mikhail Prokhorov",153,11300,57,"Switzerland","Finance & Investments",1,703.08243536,59.6,10.1,28.8,8.574832,0,6,1,"Single",0,1,0,0
"Giorgio Armani",157,11100,88,"Italy","Fashion & Retail",1,2001.244392042,61.9,24.3,59.1,60.297396,0,6,1,"Single",0,0,0,1
"Johann Rupert & family",157,11100,72,"South Africa","Fashion & Retail",0,351.431649241,22.4,27.5,29.2,58.55827,0,6,1,"Married",0,0,0,0
"Zhang Zhidong",159,11000,51,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Unknown",1,1,0,0
"Philip Anschutz",161,10900,83,"United States","Finance & Investments",0,21427.7,88.2,9.6,36.6,328.239523,0,5,3,"Married",1,0,0,0
"Judy Love & family",161,10900,85,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,1,9,1,"Widowed",1,0,0,1
"Ricardo Salinas Pliego & family",161,10900,67,"Mexico","Fashion & Retail",0,1258.286717125,40.2,13.1,55.1,126.014024,0,6,1,"Married",1,1,0,0
"Donald Newhouse",164,10700,93,"United States","Media & Entertainment",0,21427.7,88.2,9.6,36.6,328.239523,0,5,2,"Widowed",0,0,0,1
"Robert Kraft",165,10600,81,"United States","Sports",1,21427.7,88.2,9.6,36.6,328.239523,0,8,3,"Widowed, Remarried",1,1,0,0
"Marcel Herrmann Telles",165,10600,73,"Brazil","Food & Beverage",1,1839.758040766,51.3,14.2,65.1,212.559417,0,6,1,"Married",1,0,0,0
"Suleiman Kerimov & family",167,10500,57,"Russia","Finance & Investments",1,1699.876578871,81.9,11.4,46.2,144.373535,0,6,1,"Married",0,1,0,0
"Changpeng Zhao",167,10500,45,"United Arab Emirates","Finance & Investments",1,421.142267938,36.8,0.1,15.9,9.770529,0,6,1,"Unknown",0,0,0,0
"Andrew Beal",170,10300,70,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0,8,1,"Divorced",0,0,0,1
"Mike Cannon-Brookes",171,10200,43,"Australia","Technology",1,1392.680589329,113.1,23,47.4,25.766605,0,6,1,"Married",1,0,0,0
"Carl Cook",171,10200,60,"United States","Healthcare",0,21427.7,88.2,9.6,36.6,328.239523,0,3,1,"Married",1,1,0,0
"David Duffield",171,10200,82,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,8,3,"Married",1,1,0,0
"Jeffery Hildebrand",171,10200,64,"United States","Energy",1,21427.7,88.2,9.6,36.6,328.239523,0,8,2,"Married",1,1,0,0
"Viktor Rashnikov",171,10200,74,"Russia","Manufacturing",1,1699.876578871,81.9,11.4,46.2,144.373535,0,6,1,"Married",0,1,0,0
"Eduardo Saverin",171,10200,41,"Singapore","Technology",1,372.062527489,84.8,13.1,21,5.703569,0,6,1,"Married",1,0,0,0
"Georg Schaeffler",171,10200,58,"Germany","Automotive",0,3845.630030824,70.2,11.5,48.8,83.132799,0,6,1,"Divorced",0,0,0,0
"Christy Walton",171,10200,74,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,1,1,1,"Widowed",0,0,0,0
"Scott Farquhar",179,10100,43,"Australia","Technology",1,1392.680589329,113.1,23,47.4,25.766605,0,6,1,"Married",1,0,0,0
"Quek Leng Chan",179,10100,81,"Malaysia","Diversified",0,364.701517788,45.1,12,38.7,32.447385,0,6,1,"Married",0,0,0,0
"Wu Yajun",179,10100,59,"China","Real Estate",1,19910,50.6,9.4,59.2,1397.715,1,6,1,"Divorced",1,0,0,0
"Autry Stephens",182,10000,85,"United States","Energy",1,21427.7,88.2,9.6,36.6,328.239523,0,9,1,"Married",0,1,0,0
"Liu Yongxing",183,9900,74,"China","Service",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",0,0,0,0
"Vinod Adani",184,9800,74,"United Arab Emirates","Diversified",1,421.142267938,36.8,0.1,15.9,9.770529,0,6,1,"Married",0,0,0,0
"Nicolas Puech",184,9800,80,"Switzerland","Fashion & Retail",0,703.08243536,59.6,10.1,28.8,8.574832,0,6,1,"Unknown",0,0,0,0
"Jacques Saadé, Jr.",184,9800,51,"France","Logistics",0,2715.518274227,65.6,24.2,60.7,67.059887,0,6,1,"Unknown",0,0,0,0
"Rodolphe Saadé",184,9800,53,"France","Logistics",0,2715.518274227,65.6,24.2,60.7,67.059887,0,6,1,"Unknown",1,0,0,0
"Tanya Saadé Zeenny",184,9800,55,"France","Logistics",0,2715.518274227,65.6,24.2,60.7,67.059887,1,6,1,"Married",0,0,0,0
"Melker Schorling & family",184,9800,75,"Sweden","Finance & Investments",1,530.832908738,67,27.9,49.1,10.285453,0,6,1,"Married",0,1,0,0
"Andrei Guriev & family",190,9700,63,"Russia","Manufacturing",1,1699.876578871,81.9,11.4,46.2,144.373535,0,6,1,"Married",1,1,0,0
"Michael Kim",190,9700,59,"South Korea","Finance & Investments",1,2029,94.3,15.6,33.2,51.709098,0,7,1,"Married",1,1,0,0
"Lei Jun",190,9700,53,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",1,0,0,0
"Friedhelm Loh",190,9700,76,"Germany","Manufacturing",0,3845.630030824,70.2,11.5,48.8,83.132799,0,6,1,"Married",0,0,0,0
"Sun Piaoyang",190,9700,64,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",1,0,1,0
"Rick Cohen & family",195,9600,70,"United States","Technology",0,21427.7,88.2,9.6,36.6,328.239523,0,5,1,"Married",0,0,0,0
"Jin Baofang",195,9600,70,"China","Energy",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",0,0,0,0
"Luo Liguo & family",195,9600,67,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",0,0,0,0
"Marijke Mars",195,9600,58,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1,2,1,"Divorced",1,0,0,0
"Pamela Mars",195,9600,62,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1,2,1,"Married",1,0,0,0
"Valerie Mars",195,9600,64,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1,2,1,"Married",1,1,0,0
"Victoria Mars",195,9600,66,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1,2,1,"Married",1,1,0,0
"Vincent Bolloré & family",202,9500,71,"France","Finance & Investments",0,2715.518274227,65.6,24.2,60.7,67.059887,0,6,1,"Married",0,0,0,0
"Jim Pattison",202,9500,94,"Canada","Diversified",1,1736.42562952,68.9,12.8,24.5,36.991981,0,6,1,"Married",0,0,0,0
"Ernesto Bertarelli",204,9400,57,"Switzerland","Healthcare",0,703.08243536,59.6,10.1,28.8,8.574832,0,6,1,"Divorced",1,1,0,0
"Wang Xing",204,9400,44,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Unknown",0,0,0,0
"Brian Chesky",206,9300,41,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,8,1,"Single",1,0,0,0
"James Dyson",206,9300,75,"United Kingdom","Manufacturing",1,2827.113184696,60,25.5,30.6,66.834405,0,6,1,"Married",0,0,0,0
"Roman Abramovich & family",208,9200,56,"Russia","Diversified",1,1699.876578871,81.9,11.4,46.2,144.373535,0,6,1,"Married",0,1,0,0
"Antonia Ax:son Johnson & family",208,9200,79,"Sweden","Diversified",0,530.832908738,67,27.9,49.1,10.285453,1,6,1,"Married",0,1,0,0
"Daniel Kretinsky",208,9200,47,"Czech Republic","Energy",1,246.489245495,64.1,14.9,46.1,10.669709,0,6,1,"In Relationship",0,0,0,0
"John Malone",208,9200,82,"United States","Media & Entertainment",1,21427.7,88.2,9.6,36.6,328.239523,0,8,3,"Married",1,1,1,0
"Azim Premji",208,9200,77,"India","Technology",0,2611,28.1,11.2,49.7,1366.417754,0,6,1,"Married",1,0,0,0
"Charles Schwab",208,9200,85,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0,8,3,"Married",1,1,0,0
"Eric Smidt",208,9200,63,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,0,10,1,"Married",0,0,0,0
"David Cheriton",215,9000,72,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,6,1,"Divorced",1,1,1,0
"Ivan Glasenberg",215,9000,66,"Switzerland","Metals & Mining",1,703.08243536,59.6,10.1,28.8,8.574832,0,6,1,"Married",1,1,0,0
"Alexander Otto",215,9000,55,"Germany","Real Estate",0,3845.630030824,70.2,11.5,48.8,83.132799,0,6,1,"Married",1,1,0,0
"Anthony von Mandl",215,9000,73,"Canada","Food & Beverage",1,1736.42562952,68.9,12.8,24.5,36.991981,0,8,1,"Unknown",1,0,0,0
"Wang Liping & family",215,9000,57,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",0,0,0,0
"Finn Rausing",220,8900,68,"United Kingdom","Food & Beverage",0,2827.113184696,60,25.5,30.6,66.834405,0,6,1,"Unknown",0,0,0,0
"Jorn Rausing",220,8900,63,"United Kingdom","Food & Beverage",0,2827.113184696,60,25.5,30.6,66.834405,0,6,1,"Unknown",0,0,0,0
